epic,story,state,tests,code_files,doc_files,feature
Priority RAG Strategies,4.2,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_reranking_integration.py;tests/unit/services/test_reranking_interface.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Re-ranking Strategy
Priority RAG Strategies,4.3,code implemented,tests/integration/cli/test_index_query_flow.py;tests/unit/cli/test_query_command.py;tests/integration/strategies/test_query_expansion_integration.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_multi_query_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/agentic/test_query_analyzer.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/agentic/query_analyzer.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/cli/commands/query.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/epics/epic-06-multi-query-contextual.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-04/story-4.3-query-expansion.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/getting-started/first-query.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Query Expansion Strategy
Agentic & Advanced Retrieval Strategies,5.1,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/test_base_strategy_di.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/epics/epic-05-agentic-advanced.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Agentic RAG Strategy
Agentic & Advanced Retrieval Strategies,5.2,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_hierarchical_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/integration/strategies/test_hierarchical_indexing.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/indexing/hierarchical.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-13/story-13.4-hierarchical-indexing.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Hierarchical RAG Strategy
Agentic & Advanced Retrieval Strategies,5.3,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/agentic/test_strategy.py;tests/integration/strategies/test_self_reflective_integration.py;tests/unit/strategies/test_base_strategy_di.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/guides/strategy-selection.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md,Implement Self-Reflective RAG Strategy
Multi-Query & Contextual Strategies,6.1,code implemented,tests/integration/cli/test_index_query_flow.py;tests/unit/cli/test_query_command.py;tests/integration/strategies/test_query_expansion_integration.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_multi_query_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/agentic/test_query_analyzer.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/agentic/query_analyzer.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/cli/commands/query.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/epics/epic-06-multi-query-contextual.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-04/story-4.3-query-expansion.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/getting-started/first-query.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Multi-Query RAG Strategy
Multi-Query & Contextual Strategies,6.2,code implemented,tests/benchmarks/test_contextual_performance.py;tests/unit/evaluation/test_retrieval_metrics.py;tests/unit/core/test_retrieval_interface.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py;tests/integration/strategies/test_contextual_integration.py,rag_factory/evaluation/metrics/retrieval.py;rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/core/retrieval_interface.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/epics/epic-06-multi-query-contextual.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.5-implement-retrievalpipeline.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/strategies/contextual.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Contextual Retrieval Strategy
Advanced & Experimental Strategies,7.1,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_knowledge_graph_integration.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/services/test_graph_interface.py;tests/unit/strategies/agentic/test_strategy.py;tests/unit/strategies/knowledge_graph/test_memory_graph_store.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/knowledge_graph/graph_store.py;rag_factory/strategies/knowledge_graph/memory_graph_store.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/guides/strategy-selection.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md,Implement Knowledge Graph Strategy
Advanced & Experimental Strategies,7.2,code implemented,tests/unit/strategies/self_reflective/test_strategy.py;tests/integration/strategies/test_chunking_integration.py;tests/benchmarks/test_late_chunking_performance.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/services/llm/test_prompt_template.py;tests/integration/strategies/test_late_chunking_integration.py;tests/unit/strategies/agentic/test_strategy.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/services/llm/prompt_template.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/guides/strategy-selection.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md;docs/stories/Completed/epic-04/story-4.1-context-aware-chunking.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-13/story-13.1-context-aware-chunking.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md,Implement Late Chunking Strategy
Advanced & Experimental Strategies,7.3,code implemented,tests/integration/models/test_fine_tuned_embeddings_integration.py;tests/unit/strategies/self_reflective/test_refiner.py;tests/integration/services/test_onnx_embeddings_integration.py;tests/performance/benchmark_onnx_embeddings.py;tests/integration/services/test_fine_tuned_onnx_integration.py,rag_factory/strategies/self_reflective/refiner.py,docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.1-define-capability-enums-and-models.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md,Implement Fine-Tuned Embeddings Strategy
Observability & Quality Assurance,8.1,test created,tests/integration/observability/test_monitoring_integration.py,,docs/stories/Completed/epic-08/story-8.1-monitoring-logging-system.md;docs/stories/epic-16/story-16.1-audit-migration-systems.md,Build Monitoring & Logging System
Observability & Quality Assurance,8.2,test created,tests/integration/evaluation/test_evaluation_integration.py,,docs/stories/Completed/epic-08/story-8.2-evaluation-framework.md;docs/stories/epic-15/story-15.6-evaluation-framework-tests.md,Create Evaluation Framework
Development Tools (CLI & Dev Server),8.5.1,code implemented,tests/unit/models/evaluation/test_ab_testing.py;tests/unit/strategies/self_reflective/test_strategy.py;tests/unit/evaluation/test_statistical_testing.py;tests/unit/strategies/fine_tuned/test_ab_testing.py;tests/unit/strategies/test_base_strategy_di.py;tests/unit/strategies/agentic/test_strategy.py,rag_factory/strategies/contextual/strategy.py;rag_factory/strategies/hierarchical/strategy.py;rag_factory/strategies/self_reflective/strategy.py;rag_factory/strategies/knowledge_graph/strategy.py;rag_factory/models/evaluation/ab_testing.py;rag_factory/strategies/late_chunking/strategy.py;rag_factory/strategies/agentic/strategy.py;rag_factory/strategies/fine_tuned/ab_testing.py;rag_factory/strategies/multi_query/strategy.py,docs/stories/Completed/epic-01/story-1.1-rag-strategy-interface.md;docs/stories/Completed/epic-11/story-11.4-update-strategy-base-classes-for-di.md;docs/stories/Completed/epic-08.5/story-8.5.1-cli-strategy-testing.md;docs/stories/Completed/epic-07/story-7.1-knowledge-graph-strategy.md;docs/stories/Completed/epic-12/story-12.3-create-iretrievalstrategy-interface.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-01/story-1.3-strategy-composition-engine.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-05/story-5.1-agentic-rag-strategy.md;docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md;docs/stories/Completed/epic-06/story-6.2-contextual-retrieval-strategy.md;docs/stories/Completed/epic-06/story-6.1-multi-query-rag-strategy.md;docs/stories/Completed/epic-05/story-5.3-self-reflective-rag-strategy.md;docs/stories/Completed/epic-05/story-5.2-hierarchical-rag-strategy.md;docs/guides/strategy-selection.md;docs/epics/epic-17-strategy-pair-configuration.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-12/story-12.2-create-iindexingstrategy-interface.md,Build CLI for Strategy Testing
Development Tools (CLI & Dev Server),8.5.2,pending,,,docs/stories/epic-15/story-15.5-development-server-tests.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/epics/epic-10-lightweight-dependencies.md;docs/stories/Completed/epic-08.5/story-8.5.2-dev-server-pocs.md,Create Lightweight Dev Server for POCs
Documentation & Developer Experience,9.1,test created,tests/integration/documentation/test_documentation_integration.py;tests/unit/documentation/test_documentation_completeness.py,,docs/epics/epic-09-documentation.md;docs/stories/Completed/epic-09/story-9.1-developer-documentation.md;docs/stories/epic-16/story-16.6-update-database-documentation.md,Write Developer Documentation
Documentation & Developer Experience,9.2,code implemented,tests/unit/examples/test_examples_imports.py;tests/unit/documentation/test_code_examples.py;tests/unit/examples/test_examples_syntax.py;tests/integration/services/test_service_implementations.py,rag_factory/strategies/agentic/tool_implementations.py,docs/stories/Completed/epic-11/story-11.3-implement-service-implementations.md;docs/stories/Completed/epic-09/story-9.2-example-implementations.md,Create Example Implementations
Lightweight Dependencies Implementation,10.1,code implemented,tests/integration/models/test_fine_tuned_embeddings_integration.py;tests/integration/services/test_onnx_embeddings_integration.py;tests/performance/benchmark_onnx_embeddings.py;tests/integration/services/test_embedding_integration.py;tests/unit/strategies/late_chunking/test_embedding_chunker.py;tests/integration/strategies/test_vector_embedding_indexing.py,rag_factory/strategies/indexing/vector_embedding.py;rag_factory/strategies/late_chunking/embedding_chunker.py;rag_factory/services/onnx/embedding.py,docs/stories/epic-16/story-16.4-migrate-tests-to-alembic.md;docs/stories/Completed/epic-03/story-3.1-embedding-service.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/epics/epic-03-core-services.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md;docs/stories/Completed/epic-13/story-13.2-vector-embedding-indexing.md,Migrate Embedding Services to ONNX
Lightweight Dependencies Implementation,10.2,code implemented,tests/unit/utils/test_tokenization.py;tests/integration/test_tokenization_integration.py,rag_factory/utils/tokenization.py,docs/stories/Completed/epic-10/story-10.2-replace-tokenization-with-tiktoken.md,Replace Tokenization with Tiktoken
Lightweight Dependencies Implementation,10.3,code implemented,tests/benchmarks/test_late_chunking_performance.py;tests/unit/services/llm/test_prompt_template.py;tests/integration/strategies/test_late_chunking_integration.py;tests/integration/strategies/test_chunking_integration.py,rag_factory/services/llm/prompt_template.py,docs/stories/epic-16/story-16.4-migrate-tests-to-alembic.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-04/story-4.1-context-aware-chunking.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-07/story-7.2-late-chunking-strategy.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md;docs/stories/Completed/epic-13/story-13.1-context-aware-chunking.md,Migrate Late Chunking to ONNX
Lightweight Dependencies Implementation,10.4,test created,tests/integration/strategies/test_reranking_integration.py;tests/unit/services/test_reranking_interface.py,,docs/stories/epic-16/story-16.4-migrate-tests-to-alembic.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-04/story-4.2-reranking-strategy.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md;docs/epics/epic-10-lightweight-dependencies.md,Migrate Reranking to Lightweight Alternatives
Lightweight Dependencies Implementation,10.5,code implemented,tests/integration/models/test_fine_tuned_embeddings_integration.py;tests/unit/strategies/self_reflective/test_refiner.py;tests/integration/services/test_fine_tuned_onnx_integration.py,rag_factory/strategies/self_reflective/refiner.py,docs/stories/epic-16/story-16.4-migrate-tests-to-alembic.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-12/story-12.1-define-capability-enums-and-models.md;docs/stories/Completed/epic-10/story-10.4-migrate-reranking-to-lightweight-alternatives.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/Completed/epic-10/story-10.5-migrate-fine-tuned-embeddings-to-onnx.md;docs/stories/Completed/epic-07/story-7.3-fine-tuned-embeddings-strategy.md;docs/stories/Completed/epic-10/story-10.3-migrate-late-chunking-to-onnx.md,Migrate Fine-Tuned Embeddings to ONNX
Dependency Injection & Service Interface Decoupling,11.1,code implemented,tests/unit/strategies/query_expansion/test_expander_service.py;tests/unit/strategies/reranking/test_reranker_service.py;tests/integration/services/test_service_integration.py;tests/unit/services/embedding/test_service.py;tests/integration/services/test_service_implementations.py;tests/unit/services/llm/test_service.py;tests/unit/services/test_interfaces.py;tests/unit/services/test_database_service.py,rag_factory/strategies/reranking/reranker_service.py;rag_factory/strategies/query_expansion/expander_service.py;rag_factory/services/embedding/service.py;rag_factory/services/llm/service.py;rag_factory/services/interfaces.py,docs/stories/Completed/epic-03/story-3.1-embedding-service.md;docs/stories/Completed/epic-10/story-10.1-migrate-embedding-services-to-onnx.md;docs/stories/Completed/epic-03/story-3.2-llm-service-adapter.md;docs/stories/Completed/epic-12/story-12.1-define-capability-enums-and-models.md;docs/stories/Completed/epic-11/story-11.1-define-service-interfaces.md;docs/stories/epic-15/story-15.2-service-interface-tests.md;docs/stories/Completed/epic-11/story-11.3-implement-service-implementations.md;docs/epics/epic-03-core-services.md,Define Service Interfaces
Dependency Injection & Service Interface Decoupling,11.2,pending,,,docs/stories/Completed/epic-11/story-11.2-create-strategy-dependencies-container.md,Create StrategyDependencies Container
